mrna,lncrna
520,322
520,445
520,789
520,1048
520,1475
520,52
520,30
520,1300
520,497
520,681
520,967
520,287
520,1375
520,55
520,1037
520,1363
520,242
520,1245
520,915
520,31
520,785
520,149
520,568
520,1217
520,1184
520,1225
520,219
520,518
520,1073
520,427
520,1387
520,1338
520,282
520,589
520,1325
520,1166
520,615
520,1022
520,996
520,1383
520,1263
520,884
520,347
520,964
520,189
520,461
520,484
520,319
520,1230
520,854
520,144
520,932
520,1364
520,1295
520,1411
520,203
520,950
520,687
520,359
520,256
520,923
520,760
520,292
1636,1470
1636,820
1636,786
1636,788
1636,1259
1636,959
1636,1427
1636,606
1636,146
1636,288
1636,1015
1636,882
1636,532
1636,53
1636,787
1636,921
1636,54
1636,121
1636,1050
1636,614
1636,561
1636,1495
1636,1109
1636,773
1636,603
1636,850
1636,494
1636,59
1636,1215
1636,188
1636,917
1636,796
1636,1140
1636,185
1636,522
1636,476
1636,1142
1636,1101
1636,916
1636,755
1636,740
1636,1393
1636,66
1636,1128
1636,138
1636,322
1636,445
1636,789
1636,1048
1636,1475
1636,52
1636,30
1636,1300
1636,497
1636,967
1636,1375
1636,55
1636,1037
1636,1363
1636,915
1636,149
1636,1217
1636,1184
1636,1225
1636,219
1636,1073
1636,282
1636,589
1636,1325
1636,996
1636,1263
1636,484
1636,256
1636,760
1224,1003
1224,362
1224,39
1224,1059
1224,1470
1224,1242
1224,254
1224,83
1224,220
1224,1259
1224,1206
1224,0
1224,959
1224,588
1224,1321
1224,598
1224,146
1224,288
1224,937
1224,532
1224,1196
1224,200
1224,581
1224,1253
1224,150
1224,917
1224,685
1224,559
1224,875
1224,710
369,1470
369,820
369,786
369,788
369,1259
369,959
369,1427
369,606
369,146
369,288
369,1015
369,882
369,532
369,53
369,787
369,921
369,54
369,121
369,1050
369,614
369,561
369,1495
369,1109
369,773
369,603
369,850
369,494
369,59
369,1215
369,188
369,917
369,796
369,1140
369,185
369,522
369,476
369,1142
369,1101
369,916
369,755
369,740
369,444
369,1393
369,66
369,1128
369,138
369,322
369,445
369,789
369,1048
369,1475
369,52
369,30
369,1300
369,497
369,967
369,287
369,1375
369,55
369,1037
369,1363
369,1245
369,915
369,31
369,785
369,149
369,568
369,1184
369,1225
369,219
369,518
369,1073
369,1387
369,1488
369,1338
369,282
369,781
369,589
369,1325
369,1166
369,615
369,4
369,1022
369,996
369,1383
369,1263
369,884
369,964
369,189
369,461
369,484
369,319
369,1230
369,854
369,144
369,932
369,640
369,483
369,1450
369,1364
369,1295
369,1149
369,1411
369,98
369,203
369,950
369,987
369,1249
369,687
369,359
369,1167
369,923
369,760
369,292
369,215
812,1003
812,362
812,39
812,1059
812,1470
812,1242
812,254
812,820
812,83
812,786
812,220
812,788
812,1259
812,1206
812,959
812,1427
812,1321
812,606
812,146
812,288
812,1015
812,882
812,937
812,532
812,53
812,787
812,921
812,54
812,121
812,1050
812,614
812,561
812,1495
812,581
812,1109
812,773
812,425
812,603
812,850
812,59
812,917
812,1140
812,185
812,476
812,1142
812,1101
812,916
812,755
812,740
812,1393
812,194
812,322
812,559
812,445
812,1048
812,710
812,52
812,1300
812,497
812,681
812,967
812,287
812,55
812,242
812,915
812,149
812,1184
812,1225
812,219
812,282
812,589
812,1252
812,765
812,484
46,1003
46,362
46,39
46,1059
46,1470
46,1242
46,254
46,220
46,1259
46,1206
46,959
46,588
46,1321
46,146
46,288
46,937
46,532
46,200
46,875
2262,1470
2262,820
2262,786
2262,788
2262,1259
2262,1206
2262,959
2262,1427
2262,606
2262,146
2262,288
2262,1015
2262,882
2262,532
2262,53
2262,787
2262,921
2262,54
2262,121
2262,1050
2262,614
2262,561
2262,1495
2262,581
2262,1109
2262,773
2262,425
2262,603
2262,850
2262,494
2262,59
2262,1215
2262,188
2262,917
2262,796
2262,1140
2262,185
2262,522
2262,476
2262,1142
2262,1101
2262,916
2262,755
2262,740
2262,444
2262,1393
2262,66
2262,194
2262,1128
2262,138
2262,322
2262,445
2262,789
2262,1048
2262,1475
2262,52
2262,30
2262,1300
2262,497
2262,681
2262,688
2262,967
2262,287
2262,1375
2262,55
2262,1444
2262,1037
2262,1363
2262,242
2262,1245
2262,915
2262,31
2262,785
2262,149
2262,568
2262,1184
